strategy,candidate_orders,control_orders,treatment_orders,baseline_low_review_rate,minimum_detectable_effect_abs,minimum_detectable_effect_relative,required_n_per_group_10pct_relative_reduction,required_n_per_group_15pct_relative_reduction,required_n_per_group_20pct_relative_reduction,estimated_daily_candidate_rate,historical_candidate_window_days
post_delivery,2624,1319,1305,0.6772103658536586,0.05124946802190449,0.0756773236294189,785,356,204,10.933333333333334,240
purchase_time,2624,1297,1327,0.3601371951219512,0.05278134619384371,0.14655899726205918,2722,1194,663,10.887966804979254,241
