model,threshold,roc_auc,pr_auc,precision,recall,f1,train_rows,test_rows,test_low_review_rate
prior_baseline,0.5,0.5,0.13392925211557521,0.0,0.0,0.0,43364,52468,0.13392925211557521
purchase_time_logistic_regression,0.5,0.6403038264788135,0.23964986876496716,0.2007711523840556,0.5261135619752384,0.29063322982587164,43364,52468,0.13392925211557521
