top_risk_share,orders_reviewed,low_reviews_captured,capture_rate,precision_in_segment,lift_vs_baseline
0.01,525,255,0.036288601110004266,0.4857142857142857,3.626648234361341
0.02,1050,447,0.06361178312224278,0.4257142857142857,3.178650511293175
0.05,2624,945,0.1344812864664864,0.3601371951219512,2.689010723446497
0.1,5247,1542,0.21943930553579052,0.2938822184105203,2.194309411635574
0.2,10494,2516,0.3580475309520421,0.23975605107680578,1.7901694162370634
0.3,15741,3344,0.4758787533798207,0.2124388539482879,1.5862020476673928
0.5,26234,4651,0.6618756225985485,0.1772890142563086,1.3237512451970967
1.0,52468,7027,1.0,0.13392925211557521,1.0
