first_product_category,eligible_customers_90d,repeat_customers_within_90d,repeat_rate_within_90d,observed_repeat_rate
home_appliances,494,38,0.07692307692307693,0.08502024291497975
fashion_bags_accessories,1434,63,0.043933054393305436,0.06345885634588563
bed_bath_table,7126,282,0.03957339320797081,0.052203199550940216
furniture_decor,4976,175,0.03516881028938907,0.05144694533762058
sports_leisure,6040,173,0.028642384105960265,0.04304635761589404
construction_tools_construction,388,9,0.023195876288659795,0.028350515463917526
health_beauty,6177,140,0.02266472397604015,0.034482758620689655
computers_accessories,5223,114,0.021826536473291212,0.032739804709936815
pet_shop,1185,24,0.020253164556962026,0.03713080168776371
small_appliances,495,10,0.020202020202020204,0.022222222222222223
home_construction,304,6,0.019736842105263157,0.02631578947368421
unknown,1232,22,0.017857142857142856,0.028409090909090908
housewares,4091,73,0.017844047910046443,0.03128819359569787
perfumery,2473,44,0.017792155276991507,0.031540638900121314
baby,2092,36,0.017208413001912046,0.026290630975143402
toys,3221,55,0.017075442409189692,0.027631170443961503
auto,2795,46,0.016457960644007157,0.023613595706618962
garden_tools,2922,48,0.01642710472279261,0.03148528405201916
watches_gifts,4020,65,0.01616915422885572,0.024875621890547265
telephony,3360,51,0.015178571428571428,0.02738095238095238
books_general_interest,398,6,0.01507537688442211,0.02512562814070352
office_furniture,1087,16,0.014719411223551058,0.022999080036798528
musical_instruments,481,7,0.014553014553014554,0.02079002079002079
stationery,1739,23,0.013225991949396205,0.024151811385853938
luggage_accessories,842,10,0.011876484560570071,0.022565320665083134
consoles_games,856,10,0.011682242990654205,0.01985981308411215
electronics,2039,22,0.010789602746444336,0.019127023050514957
cool_stuff,3147,29,0.009215125516364792,0.019701302828090246
