distance_bucket_km,seller_orders,avg_distance_km,avg_delivery_days,late_rate,avg_review_score,low_review_rate,avg_freight_share
0-100,17985,40.07386292586156,6.478936790997053,0.06283013622463164,4.2572328792512275,0.10886850152905199,0.16983729177454168
100-300,13478,200.30587087275964,9.931204446732803,0.062472176880842854,4.229744769253599,0.11299896127021813,0.18375372891836264
300-600,31750,429.9850803822323,12.526910504909457,0.07562204724409449,4.115128608923884,0.13990551181102362,0.21067254600198218
600-1000,18064,784.8622094735207,14.615518162639608,0.08231842338352524,4.0991197962798935,0.13883968113374667,0.22412799615523332
1000-1500,6617,1233.8955748245228,17.103642634152212,0.09762732356052592,4.031963125283361,0.15581079038839354,0.2341978345987629
1500-2500,7903,2041.6500696029875,20.106022200313053,0.12893837783120335,3.998165253701126,0.16158420852840694,0.27288575871507503
2500+,877,2778.0997149472187,23.320080437835212,0.11744583808437856,3.936716077537058,0.17787913340935005,0.27559329895655743
