segment,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,dimension,low_review_rate,late_rate,share_of_orders,share_of_low_reviews,share_of_late_orders,share_of_payment,low_review_contribution_index,late_contribution_index,expected_low_reviews_at_average,excess_low_reviews,expected_late_orders_at_average,excess_late_orders
15_plus_days_late,1555,1555,1504,1186,1555,288339.75,delivery_delay_bucket,0.788563829787234,1.0,0.015637413139449524,0.08160737631597055,0.1986712661300626,0.018011247003452233,5.2187261146214965,12.704867765427366,221.51583513220436,964.4841648677957,126.13683948672235,1428.8631605132778
1_3_days_late,2662,2662,2636,506,2662,419148.16,delivery_delay_bucket,0.19195751138088013,1.0,0.02676964230045957,0.03481731232367715,0.3401047655551297,0.026182241750582487,1.300626729819226,12.704867765427366,388.2418493407518,117.7581506592482,215.9332904910964,2446.066709508904
4_7_days_late,1819,1819,1773,1087,1819,324986.85,delivery_delay_bucket,0.6130851663846588,1.0,0.018292253698172785,0.07479529347003372,0.23240066436693496,0.020300421389086592,4.0889053204802766,12.704867765427368,261.13535617646164,825.8646438235384,147.55171127096332,1671.4482887290367
8_14_days_late,1791,1790,1749,1367,1791,319216.12,delivery_delay_bucket,0.7815894797026872,1.000558659217877,0.01801067969952032,0.09406179040803689,0.22882330394787276,0.019939950647816156,5.2225563930572845,12.704867765427368,257.6005290200967,1109.3994709799033,145.19932005223987,1645.80067994776
on_or_before_estimate,88649,88644,88168,8168,0,14070140.55,delivery_delay_bucket,0.09264132111423645,0.0,0.8914733359479491,0.5620312392486067,0.0,0.878896429713001,0.6304521028113198,0.0,12985.776696766086,-4817.776696766086,7190.529903190364,-7190.529903190364
unknown,2965,8,2843,2219,0,587040.69,delivery_delay_bucket,0.7805135420330637,0.0,0.02981667521444877,0.15268698823367507,0.0,0.03666970949606161,5.120858953438409,0.0,418.72973356439957,1800.2702664356004,0.6489355086133626,-0.6489355086133626
cross_state,63313,61898,62807,9789,5724,11078349.69,route_type,0.1558584234241406,0.09247471646902969,0.6366890920244165,0.6735704947361179,0.7313146799540053,0.6920131291547852,1.0579268644204871,1.1486213429991667,9250.49538374226,538.50461625774,5020.97626401874,703.02373598126
same_state,35353,34580,35110,4143,2103,4767930.48,route_type,0.11800056963827969,0.0608155002891845,0.35551734194145274,0.28507534576481114,0.26868532004599466,0.2978305057508324,0.8018605905637027,0.7557586883911904,5171.157560832244,-1028.1575608322437,2805.02373598126,-702.02373598126
unknown,775,0,756,601,0,162591.95,route_type,0.794973544973545,,0.007793566034130791,0.04135415949907108,0.0,0.010156365094382428,5.306192225480164,0.0,111.34705542549634,489.65294457450364,0.0,0.0
AC,81,80,81,13,3,19680.62,customer_state,0.16049382716049382,0.0375,0.0008145533532446375,0.0008945159292644327,0.0003832886163280951,0.001229357062288783,1.0981673891603019,0.4705506579787914,11.93004165273175,1.0699583472682495,6.489355086133626,-3.489355086133626
AL,413,397,410,98,95,96962.06,customer_state,0.23902439024390243,0.23929471032745592,0.004153216480123892,0.006743273928301108,0.012137472850389677,0.0060567702254841925,1.623626883060994,2.922427209965133,60.38663058790145,37.61336941209855,32.203424614938115,62.796575385061885
AM,148,145,146,21,6,27966.93,customer_state,0.14383561643835616,0.041379310344827586,0.0014883197071630413,0.0014449872703502374,0.0007665772326561902,0.0017469644201268065,0.9708849942628242,0.5150622067065149,21.50353186788686,-0.5035318678868599,11.761956093617197,-5.761956093617197
AP,68,67,67,5,3,16262.8,customer_state,0.07462686567164178,0.04477611940298507,0.000683822568155992,0.00034404458817862793,0.0003832886163280951,0.001015861697070012,0.503119674898102,0.5605088720041486,9.86805914485219,-4.8680591448521895,5.434834884636912,-2.4348348846369117
BA,3380,3256,3340,633,457,616645.82,customer_state,0.18952095808383235,0.14035626535626536,0.03399000412304784,0.0435560448634143,0.058387632553979815,0.03851900467301628,1.2814368808469767,1.7177883339645876,491.930112594124,141.069887405876,264.11675200563855,192.88324799436145
CE,1336,1279,1326,263,196,279464.03,customer_state,0.19834087481146304,0.1532447224394058,0.013435102221417725,0.01809674533819583,0.025041522933435544,0.017456821936310155,1.3469748901014458,1.863887785945931,195.2992003891642,67.70079961083579,103.74856443956135,92.25143556043865
DF,2140,2080,2128,323,147,355141.08,customer_state,0.15178571428571427,0.07067307692307692,0.021520298468438573,0.022225280396339364,0.018781142200076657,0.022184016296583425,1.032758928921674,0.8727175521111321,313.4213411976934,9.57865880230662,168.72323223947427,-21.72323223947427
ES,2033,1995,2006,300,244,325967.55,customer_state,0.14955134596211367,0.12230576441102757,0.020444283545016644,0.02064267529071768,0.031174140794685064,0.020361681170078583,1.009704020454627,1.5248341046553258,295.4526364861715,4.547363513828486,161.8282924604573,82.1717075395427
GO,2020,1957,2007,300,160,350092.31,customer_state,0.14947683109118087,0.08175779253960143,0.020313552759927998,0.02064267529071768,0.020442059537498402,0.02186864304841483,1.0162021156357706,1.0063261596378112,295.59992095102007,4.400079048979933,158.74584879454383,1.2541512054561679
MA,747,717,742,162,141,152523.02,customer_state,0.2183288409703504,0.19665271966527198,0.007511992035478324,0.011147044656987546,0.018014564967420467,0.009527405732066027,1.4838999568078963,2.398107570181069,109.28507291761677,52.71492708238323,58.16084495947262,82.83915504052737
MG,11635,11354,11554,1542,638,1872257.26,customer_state,0.13346027349835554,0.05619165051964065,0.11700405265433775,0.10610335099428886,0.08151271240577489,0.11695122841670873,0.9068348368047339,0.6966657184652051,1701.7247068600327,-159.7247068600327,921.0017205995148,-283.0017205995148
MS,715,701,713,104,81,137534.84,customer_state,0.1458625525946704,0.11554921540656206,0.007190193179875504,0.0071561274341154614,0.010348792640858567,0.008591163635330482,0.9952621932529728,1.4392927118875758,105.01382343700911,-1.0138234370091084,56.862973942245894,24.137026057754106
MT,907,886,900,124,60,187029.29,customer_state,0.13777777777777778,0.06772009029345373,0.009120986313492422,0.008532305786829973,0.007665772326561901,0.011682852395725179,0.9354586766793378,0.8404543174483374,132.55601836368612,-8.556018363686121,71.8696075789299,-11.869607578929902
PA,975,946,962,190,117,218295.85,customer_state,0.19750519750519752,0.12367864693446089,0.009804808881648414,0.013073694350787863,0.014948256036795707,0.013635929399878299,1.3333961435248163,1.524584131851284,141.6876551842956,48.31234481570439,76.73662389353012,40.26337610646988
