seller_state,customer_state,seller_orders,seller_gmv,avg_distance_km,avg_delivery_days,late_rate,low_review_rate
SP,AL,255,50668.69,1902.9742090576397,24.91808455882353,0.2549019607843137,0.24313725490196078
SP,MA,489,86579.54,2177.6098788800596,21.779998366848446,0.20449897750511248,0.2229038854805726
PR,RJ,968,169089.51,843.5961500891783,17.038007035315275,0.13429752066115702,0.21074380165289255
SP,RJ,8156,1234539.56,441.0026713451418,16.140892807272085,0.15154487493869545,0.2073320255026974
SP,SE,209,42355.07,1724.110925508735,21.241830309675706,0.16267942583732056,0.20574162679425836
PR,BA,142,40464.13,1763.2083303757956,21.79603359741784,0.1619718309859155,0.19014084507042253
SP,BA,2309,371095.06,1390.5920579606116,19.66549767014741,0.14378518839324383,0.18796015591165008
SP,PA,677,133580.38,2336.60427517325,23.23645103328957,0.12850812407680945,0.18759231905465287
MA,SP,123,15361.039999999999,2332.1700994159464,16.019436257904246,0.24390243902439024,0.18699186991869918
SC,RJ,469,90469.33,785.1574585195781,16.169375049356393,0.09808102345415778,0.18550106609808104
RJ,PR,203,45119.07,826.4356670987655,12.77897806057289,0.08374384236453201,0.17733990147783252
SP,PI,324,62006.43,2016.5831026303313,20.344610410951077,0.17901234567901234,0.1728395061728395
SP,CE,965,181147.21,2257.42179170544,21.15113032527346,0.15129533678756477,0.1689119170984456
SP,PB,329,79358.12,2163.624214067367,20.471056899414613,0.1094224924012158,0.1641337386018237
RS,RJ,240,55734.64,1122.597643258989,14.045583622685184,0.08333333333333333,0.1625
SP,MS,480,84404.04,809.5471548501835,15.871306640624999,0.14375,0.15833333333333333
SP,PE,1122,194360.27,2048.4234599525603,18.772332578233314,0.1051693404634581,0.15597147950089127
SP,DF,1269,187439.2,807.0852326788264,13.214174911712345,0.08274231678486997,0.15445232466509062
SP,SC,2328,353204.07,561.4799899254294,15.712569673141784,0.10738831615120274,0.15378006872852235
SP,GO,1432,217048.56,746.8378606747999,15.914277452863129,0.0893854748603352,0.15013966480446927
SP,ES,1457,214132.52,787.9493259972926,15.619639305142481,0.13589567604667124,0.14893617021276595
RJ,RS,199,39635.0,1181.9171552488674,15.789806032477202,0.09547738693467336,0.1457286432160804
SC,MG,431,93119.24,949.3540329868069,14.644358377373893,0.05104408352668213,0.14385150812064965
MG,RJ,1130,175641.32,370.9935352749258,14.008926233202228,0.09115044247787611,0.13982300884955753
SP,TO,201,43465.29,1478.0952858659575,17.672431649622258,0.12437810945273632,0.13930348258706468
SP,RN,331,67827.88,2260.374652334134,20.396334165547724,0.11782477341389729,0.13897280966767372
