top_risk_share,orders_reviewed,low_reviews_captured,capture_rate,precision_in_segment,lift_vs_baseline
0.01,525,378,0.053792514586594564,0.72,5.375972676817987
0.02,1050,752,0.10701579621460082,0.7161904761904762,5.347528376940644
0.05,2624,1777,0.2528817418528533,0.6772103658536586,5.056478365676641
0.1,5247,2927,0.41653621744699015,0.5578425767105012,4.165203403279717
0.2,10494,3973,0.5653906361178312,0.3785972936916333,2.826845425560355
0.3,15741,4565,0.6496371139889,0.29000698812019565,2.165374505861737
0.5,26234,5497,0.7822683933399743,0.20953724174735078,1.5645367866799487
1.0,52468,7027,1.0,0.13392925211557521,1.0
