seller_segment,sellers,orders,seller_gmv,avg_low_review_rate,avg_late_rate,avg_review_score
high_value__standard_risk,122,38783,6508832.0,0.11856069869739932,0.07335179802485087,4.205873715370551
low_volume__low_volume,2462,16733,3589290.69,0.18702886686919926,0.0749544621048864,3.9681841265693967
standard_value__standard_risk,349,25637,2823470.34,0.10417477890513728,0.058953363460271184,4.259162397671217
high_value__high_risk,35,9890,1737349.8499999999,0.2312792164149305,0.09292418111213338,3.74885359738852
standard_value__high_risk,122,8204,1040902.73,0.24144485619608005,0.11544710139526689,3.727263684608818
