segment,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,dimension,low_review_rate,late_rate,share_of_orders,share_of_low_reviews,share_of_late_orders,share_of_payment,low_review_contribution_index,late_contribution_index,expected_low_reviews_at_average,excess_low_reviews,expected_late_orders_at_average,excess_late_orders
SP,41746,40501,41472,5251,2387,5998226.96,customer_state,0.12661554783950618,0.058936816374904326,0.41980671956235355,0.36131562650519505,0.3049699757250543,0.37468142134175536,0.8606713748695228,0.726453297467425,6108.181326198656,-857.1813261986563,3285.3171292937245,-898.3171292937245
RJ,12852,12350,12687,2634,1664,2144379.69,customer_state,0.20761409316623317,0.13473684210526315,0.12924246538148249,0.1812426890525012,0.2125974191899834,0.1339494546477769,1.4023462684461385,1.6449501993208169,1868.5980055334287,765.4019944665713,1001.7941914218785,662.2058085781215
MG,11635,11354,11554,1542,638,1872257.26,customer_state,0.13346027349835554,0.05619165051964065,0.11700405265433775,0.10610335099428886,0.08151271240577489,0.11695122841670873,0.9068348368047339,0.6966657184652051,1701.7247068600327,-159.7247068600327,921.0017205995148,-283.0017205995148
RS,5466,5345,5443,730,382,890898.54,customer_state,0.13411721477126584,0.0714686623012161,0.05496726702265665,0.05023050987407968,0.048805417145777436,0.05565030024113904,0.9138258566389239,0.8878996499072913,801.669342170604,-71.66934217060395,433.5700366923029,-51.57003669230289
BA,3380,3256,3340,633,457,616645.82,customer_state,0.18952095808383235,0.14035626535626536,0.03399000412304784,0.0435560448634143,0.058387632553979815,0.03851900467301628,1.2814368808469767,1.7177883339645876,491.930112594124,141.069887405876,264.11675200563855,192.88324799436145
PR,5045,4923,5019,627,246,811156.38,customer_state,0.12492528392109982,0.049969530773918344,0.050733600828632056,0.04314319135759995,0.03142966653890379,0.050669177311162134,0.850386935934806,0.6195039584331282,739.2207290748229,-112.22072907482288,399.338688612948,-153.33868861294798
SC,3637,3546,3609,529,346,623086.43,customer_state,0.14657799944582986,0.09757473209249859,0.03657445118210798,0.036399917429298836,0.04420595374984029,0.03892131971131019,0.9952279871011563,1.2086566529661449,531.5496336383814,-2.5496336383813514,287.640664192873,58.359335807127025
DF,2140,2080,2128,323,147,355141.08,customer_state,0.15178571428571427,0.07067307692307692,0.021520298468438573,0.022225280396339364,0.018781142200076657,0.022184016296583425,1.032758928921674,0.8727175521111321,313.4213411976934,9.57865880230662,168.72323223947427,-21.72323223947427
on_or_before_estimate,88649,88644,88168,8168,0,14070140.55,delivery_delay_bucket,0.09264132111423645,0.0,0.8914733359479491,0.5620312392486067,0.0,0.878896429713001,0.6304521028113198,0.0,12985.776696766086,-4817.776696766086,7190.529903190364,-7190.529903190364
unknown,2965,8,2843,2219,0,587040.69,delivery_delay_bucket,0.7805135420330637,0.0,0.02981667521444877,0.15268698823367507,0.0,0.03666970949606161,5.120858953438409,0.0,418.72973356439957,1800.2702664356004,0.6489355086133626,-0.6489355086133626
8_14_days_late,1791,1790,1749,1367,1791,319216.12,delivery_delay_bucket,0.7815894797026872,1.000558659217877,0.01801067969952032,0.09406179040803689,0.22882330394787276,0.019939950647816156,5.2225563930572845,12.704867765427368,257.6005290200967,1109.3994709799033,145.19932005223987,1645.80067994776
15_plus_days_late,1555,1555,1504,1186,1555,288339.75,delivery_delay_bucket,0.788563829787234,1.0,0.015637413139449524,0.08160737631597055,0.1986712661300626,0.018011247003452233,5.2187261146214965,12.704867765427366,221.51583513220436,964.4841648677957,126.13683948672235,1428.8631605132778
4_7_days_late,1819,1819,1773,1087,1819,324986.85,delivery_delay_bucket,0.6130851663846588,1.0,0.018292253698172785,0.07479529347003372,0.23240066436693496,0.020300421389086592,4.0889053204802766,12.704867765427368,261.13535617646164,825.8646438235384,147.55171127096332,1671.4482887290367
1_3_days_late,2662,2662,2636,506,2662,419148.16,delivery_delay_bucket,0.19195751138088013,1.0,0.02676964230045957,0.03481731232367715,0.3401047655551297,0.026182241750582487,1.300626729819226,12.704867765427366,388.2418493407518,117.7581506592482,215.9332904910964,2446.066709508904
medium_freight_share,36062,35293,35786,4934,2761,5356201.53,freight_burden_bucket,0.13787514670541554,0.078230810642337,0.3626471978359027,0.33950319961467007,0.3527532898939568,0.3345770701302847,0.9361804024425269,0.9727175392475448,5270.721859069857,-336.7218590698567,2862.8601131864257,-101.86011318642568
high_freight_share,30395,29797,30171,4368,2418,2939071.52,freight_burden_bucket,0.14477478373272348,0.08114910897070175,0.30565863175149083,0.30055735223284935,0.30893062476044464,0.18359016787498705,0.9833105334228253,1.0107047296201144,4443.719588945304,-75.71958894530417,2417.041418769046,0.9585812309542234
low_freight_share,18665,18150,18510,2626,1514,6746816.48,freight_burden_bucket,0.14186925985953538,0.0834159779614325,0.18769923874458222,0.1806922177114154,0.19343298837357864,0.4214423370632809,0.9626688894423175,1.030547538004663,2726.235444346478,-100.23544434647783,1472.2724351665663,41.72756483343369
very_high_freight_share,13543,13237,13449,2003,1133,804190.64,freight_burden_bucket,0.14893300617146257,0.0855934124046234,0.13619130941965588,0.13782426202435835,0.14475533409991057,0.050234059837064894,1.0119901380760703,1.0628823139798573,1980.8287677480162,22.171232251983838,1073.744915939385,59.25508406061499
unknown,776,1,757,602,1,162591.95,freight_burden_bucket,0.7952443857331571,1.0,0.007803622248368379,0.041422968416706805,0.00012776287210936502,0.010156365094382426,5.308171910213584,0.016372252275035266,111.49433989034488,490.50566010965514,0.08111693857667032,0.9188830614233297
bed_bath_table,9350,9206,9247,1546,809,1249806.86,main_product_category,0.16718935871093327,0.08787747121442538,0.0940256031214489,0.10637858666483176,0.1033601635364763,0.07806963854990179,1.131378934389041,1.0992767938214694,1361.9394464544505,184.0605535455495,746.762536536827,62.23746346317296
health_beauty,8802,8614,8737,1103,775,1442254.16,main_product_category,0.1262447064209683,0.08996981657766427,0.08851479771925061,0.07589623615220532,0.09901622588475789,0.09009092890424063,0.8574412200876448,1.118640367894366,1286.824369381695,-183.82436938169508,698.7413088994382,76.2586911005618
computers_accessories,6671,6513,6631,1070,503,1061078.63,main_product_category,0.16136329362087165,0.07723015507446646,0.06708500517895033,0.07362554187022638,0.0642647246710106,0.06628066125123122,1.0974962538026056,0.9579595991620395,976.6432864106696,93.35671358933041,528.3146209498539,-25.31462094985386
furniture_decor,6332,6190,6282,1028,533,899989.52,main_product_category,0.16364215218083414,0.08610662358642973,0.06367594855240796,0.0707355673295259,0.06809761083429156,0.056218171602210286,1.1108679012658536,1.0694400693260875,925.2410081785291,102.75899182147089,502.11384978958927,30.886150210410733
sports_leisure,7682,7492,7631,982,583,1156001.14,main_product_category,0.12868562442668063,0.07781633742658836,0.07725183777315192,0.06757035711828253,0.0744857544397598,0.072210030246653,0.8746763710230582,0.9641939478318347,1123.9277512592098,-141.9277512592098,607.7281038164141,-24.72810381641409
unknown,2207,1373,2177,876,123,373939.13,main_product_category,0.40238860817638955,0.08958485069191552,0.022194064822356977,0.060276611848895614,0.015714833269451896,0.023358243303901162,2.715888789699152,0.7080646738321549,320.63827997527187,555.3617200247281,111.37355666576835,11.626443334231652
watches_gifts,5606,5477,5559,843,468,1306632.96,main_product_category,0.15164597949271452,0.08544823808654373,0.05637513701591899,0.05800591756691667,0.05979302414718283,0.08161930148518169,1.0289273008868642,1.060627562293972,818.7543400930346,24.245659906965443,444.2774725844234,23.72252741557662
housewares,5821,5680,5780,748,399,777767.36,main_product_category,0.12941176470588237,0.07024647887323944,0.05853722307700043,0.051469070391522743,0.05097738597163664,0.048583520073742704,0.8792537070612289,0.8708541897277992,851.3042068245619,-103.3042068245619,460.7442111154874,-61.74421111548742
SP,69942,68395,69401,10248,6000,10234351.71,main_seller_state,0.14766357833460614,0.08772571094378244,0.7033517362053882,0.7051537879309159,0.7665772326561902,0.6392924893949369,1.0025620918137628,1.0898917187464499,10221.689144953534,26.310855046465804,5547.993013951366,452.00698604863373
PR,7603,7442,7546,1033,485,1460714.67,main_seller_state,0.13689371852637158,0.06517065305025531,0.07645739684838246,0.07107961191770454,0.06196499297304203,0.09124407135310415,0.9296629868089513,0.8104512516417562,1111.408571747084,-78.4085717470839,603.6722568875805,-118.67225688758049
MG,7861,7666,7804,954,431,1228057.52,main_seller_state,0.12224500256278831,0.05622228019827811,0.07905190012168019,0.06564370742448221,0.055065797879136326,0.07671105814292681,0.830387471059399,0.6965777899630067,1149.4079636780073,-195.40796367800726,621.8424511287546,-190.84245112875465
unknown,775,0,756,601,0,162591.95,main_seller_state,0.794973544973545,,0.007793566034130791,0.04135415949907108,0.0,0.010156365094382426,5.306192225480164,0.0,111.34705542549634,489.65294457450364,0.0,0.0
RJ,4305,4179,4270,591,355,936932.37,main_seller_state,0.13840749414519907,0.0849485522852357,0.04329200229281684,0.040666070322713826,0.04535581959882458,0.05852582011880047,0.9393437163672441,1.0476720224684588,628.9046649032664,-37.904664903266394,338.9876863119053,16.012313688094707
SC,3623,3559,3601,477,215,739110.82,main_seller_state,0.13246320466537073,0.06041022759202023,0.03643366418278175,0.032821853712241104,0.02746901750351348,0.04616882529011044,0.9008661206179871,0.7539460583954964,530.371357919593,-53.37135791959304,288.6951843943697,-73.69518439436968
RS,1971,1944,1953,186,84,436151.64,main_seller_state,0.09523809523809523,0.043209876543209874,0.01982079826228618,0.01279845868024496,0.010732081257186662,0.027244370292340118,0.6457085386211259,0.5414555516468285,287.64655984919887,-101.64655984919887,157.6913285930471,-73.6913285930471
DF,823,807,822,125,49,116638.94,main_seller_state,0.15206812652068127,0.06071871127633209,0.008276264317535021,0.0086011147044657,0.006260380733358886,0.00728589366731727,1.0392508472986313,0.7564259058395395,121.0678301055,3.9321698945000065,65.46136943137294,-16.461369431372944
50_150_brl,50125,48690,49751,6902,3898,4665873.49,payment_value_band,0.13873087978131093,0.0800575066748819,0.5040677386591044,0.47491914952177805,0.49801967548230486,0.2914554788760471,0.942173269777459,0.9880014872745313,7327.5494106797205,-425.5494106797205,3949.583739298078,-51.583739298077944
150_300_brl,22040,21383,21841,3641,1832,4472612.57,payment_value_band,0.16670482120782015,0.08567553664125707,0.2216389617964421,0.2505332691116769,0.2340615817043567,0.2793833654534808,1.1303665523472897,1.0560488995582094,3216.839996756965,424.16000324303513,1734.5234975849414,97.47650241505858
under_50_brl,16958,16499,16859,1997,1162,625574.38,payment_value_band,0.11845305178243075,0.07042851081883751,0.1705332810410193,0.137411408518544,0.14846045739108216,0.039076730409912226,0.8057747301859024,0.8705658888681802,2483.0687928815382,-486.06879288153823,1338.3483695764837,-176.34836957648372
300_plus_brl,10317,9905,10221,1992,934,6244811.68,payment_value_band,0.19489286762547695,0.09429581019687026,0.10374996228919661,0.13706736393036537,0.11933052255014692,0.3900844252605598,1.3211316988077408,1.150174129389276,1505.3945152169288,486.60548478307123,803.4632766019196,130.53672339808043
credit_card,74935,72785,74351,10958,5792,12535370.24,primary_payment_type,0.14738201234684134,0.07957683588651508,0.7535624138936656,0.754008119452281,0.7400025552574422,0.7830264459630152,1.0005914646887872,0.9820056595363356,10950.747245953808,7.252754046192422,5904.09637430295,-112.0963743029497
