model,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1
dummy_prior,0.5,0.5,0.13392925211557521,0.8660707478844248,0.0,0.0,0.0
logistic_regression,0.5,0.7627672007408058,0.4464733549263946,0.7981055119310818,0.3490518117168981,0.5867368720648926,0.4377090079091247
logistic_regression_tuned_threshold,0.6819439377609455,0.7627672007408058,0.4464733549263946,0.867614546008996,0.5062800434175841,0.4646364024477017,0.4845651528643514
