cohort_size,cohort_month
1,2016-09
262,2016-10
1,2016-12
717,2017-01
1628,2017-02
2503,2017-03
2256,2017-04
3451,2017-05
3037,2017-06
3752,2017-07
4057,2017-08
4004,2017-09
4328,2017-10
7060,2017-11
5338,2017-12
6842,2018-01
6288,2018-02
6774,2018-03
6582,2018-04
6506,2018-05
5878,2018-06
5949,2018-07
6144,2018-08
