main_product_category,customer_state,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,segment_family,segment,low_review_rate,late_rate,share_of_low_reviews,share_of_orders,expected_low_reviews_at_average,excess_low_reviews,priority_score,route_type,main_seller_state,delivery_delay_bucket
,,38623,37744,38296,6499,4088,6161020.45,seller_state_route,SP / cross_state,0.1697044077710466,0.1083086053412463,0.4471891557145806,0.38840116249836587,5640.4058658396925,858.5941341603075,111.73737331934424,cross_state,SP,
,,56175,56172,55874,5475,0,9747812.79,delay_route,on_or_before_estimate / cross_state,0.09798833088735369,0.0,0.3767288240555976,0.5649078347965125,8229.37218894733,-2754.372188947331,87.10283115203971,cross_state,,on_or_before_estimate
,,31319,30651,31105,3749,1912,4073331.26,seller_state_route,SP / same_state,0.1205272464234046,0.062379693974095464,0.25796463221633525,0.31495057370702223,4581.283279113841,-832.2832791138408,71.72487208080207,same_state,SP,
,,32474,32472,32294,2693,0,4322327.76,delay_route,on_or_before_estimate / same_state,0.08339010342478478,0.0,0.18530241519300902,0.3265655011514365,4756.404507818755,-2063.4045078187546,52.75083295235321,same_state,,on_or_before_estimate
,,1439,1438,1399,1099,1439,259172.49,delay_route,8_14_days_late / cross_state,0.7855611150822016,1.0006954102920724,0.07562100048166243,0.014470892287889302,206.05096632310764,892.9490336768923,51.72773612025667,cross_state,,8_14_days_late
,,1341,1341,1297,1045,1341,250969.97,delay_route,15_plus_days_late / cross_state,0.8057054741711642,1.0,0.07190531892933325,0.013485383292605665,191.02795090855656,853.9720490914434,50.40506937886958,cross_state,,15_plus_days_late
,,1414,3,1344,1038,0,296811.24,delay_route,unknown / cross_state,0.7723214285714286,0.0,0.07142365650588316,0.014219486931949599,197.95032075643795,840.0496792435621,49.74374568247367,cross_state,,unknown
,,1289,1289,1252,791,1289,245240.63,delay_route,4_7_days_late / cross_state,0.6317891373801917,1.0,0.05442785384985894,0.012962460152251084,184.40014999037226,606.5998500096277,39.56200386784854,cross_state,,4_7_days_late
unknown,,775,0,756,601,0,162591.95,category_route,unknown / unknown,0.794973544973545,,0.04135415949907108,0.007793566034130791,111.34705542549634,489.65294457450364,35.03404116432872,unknown,,
,,775,0,756,601,0,162591.95,seller_state_route,unknown / unknown,0.794973544973545,,0.04135415949907108,0.007793566034130791,111.34705542549634,489.65294457450364,35.03404116432872,unknown,unknown,
,,775,0,756,601,0,162591.95,delay_route,unknown / unknown,0.794973544973545,,0.04135415949907108,0.007793566034130791,111.34705542549634,489.65294457450364,35.03404116432872,unknown,,unknown
bed_bath_table,,5308,5222,5238,1028,613,743160.89,category_route,bed_bath_table / cross_state,0.19625811378388697,0.11738797395633857,0.0707355673295259,0.05337838517311773,771.4760268766532,256.52397312334676,34.965089237302465,cross_state,,
,,776,5,743,580,0,127637.5,delay_route,unknown / same_state,0.7806191117092867,0.0,0.03990917222872084,0.007803622248368379,109.43235738246531,470.5676426175347,34.14137052127525,same_state,,unknown
,,6880,6736,6829,969,454,1342451.69,seller_state_route,PR / cross_state,0.14189486015522038,0.06739904988123516,0.06667584118901809,0.06918675395460624,1005.8056104506805,-36.80561045068055,31.008511763558634,cross_state,PR,
computers_accessories,,4861,4757,4832,811,402,832828.5,category_route,computers_accessories / cross_state,0.16783940397350994,0.08450704225352113,0.055804032202573454,0.04888325740891584,711.6785341481459,99.3214658518541,28.80066901904767,cross_state,,
furniture_decor,,4096,3990,4060,744,394,624280.1,category_route,furniture_decor / cross_state,0.1832512315270936,0.0987468671679198,0.05119383472097984,0.04119025351716093,597.9749272850729,146.0250727149271,27.8434594825835,cross_state,,
health_beauty,,5626,5516,5587,791,566,1043987.93,category_route,health_beauty / cross_state,0.14157866475747272,0.10261058738216099,0.05442785384985894,0.05657626130067075,822.8783051087937,-31.87830510879371,27.15951074556595,cross_state,,
,,6318,6156,6268,804,383,1016522.06,seller_state_route,MG / cross_state,0.12827058072750477,0.06221572449642625,0.05532236977912337,0.06353516155308173,923.1790256706496,-119.1790256706496,26.782365316046665,cross_state,MG,
sports_leisure,,5043,4925,5011,706,429,810075.63,category_route,sports_leisure / cross_state,0.14089004190780283,0.08710659898477158,0.04857909585082227,0.050713488400156874,738.0424533560346,-32.04245335603457,25.19273138662021,cross_state,,
